time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
1,0,0,0,1,0
2,1,0,0,2,0
3,1,0,0,2,0
4,2,0,0,3,0
5,2,0,0,3,0
6,2,0,0,3,0
7,3,0,0,4,0
8,3,0,0,1,0
9,3,0,0,1,0
10,4,0,0,2,0
11,4,0,0,2,0
12,4,0,0,3,0
13,4,0,0,3,0
14,5,0,0,3,0
15,5,0,0,4,0
16,5,0,0,1,0
17,6,0,0,1,0
18,6,0,0,2,0
19,6,0,0,2,0
20,7,0,0,3,0
21,7,0,0,3,0
22,7,0,0,3,0
23,8,0,0,4,0
24,8,0,0,1,0
25,8,0,0,1,0
26,8,0,0,2,0
27,9,0,0,2,0
28,9,0,0,3,0
29,9,0,0,3,0
30,10,0,0,3,0
31,10,0,0,4,0
32,10,1,0,1,0
33,11,1,0,1,0
34,11,1,0,2,0
35,18,1,0,3,0
36,12,1,0,3,0
37,12,1,0,3,0
38,12,1,0,4,0
39,13,1,0,4,0
40,24,1,0,1,0
41,13,1,0,1,0
42,13,1,0,2,0
43,14,1,0,3,0
44,15,1,0,3,0
45,21,1,0,3,0
46,28,1,0,4,0
47,16,1,0,4,0
48,16,2,0,1,0
49,17,2,0,1,0
50,17,2,0,2,0
51,18,2,0,3,0
52,18,2,0,3,0
53,27,2,0,3,0
54,26,2,0,4,0
55,17,2,0,4,0
56,18,2,0,1,0
57,18,2,0,2,0
58,26,2,0,2,0
59,27,2,0,3,0
60,33,2,0,3,0
61,28,2,0,3,0
62,21,2,0,4,0
63,28,2,0,4,0
64,29,2,0,2,0
65,29,2,0,3,0
66,28,2,0,4,0
67,21,2,0,4,0
68,29,2,0,4,0
69,29,2,0,5,0
70,30,2,0,5,0
71,31,2,0,5,0
72,23,2,0,2,0
73,32,2,0,3,0
74,32,2,0,4,0
75,32,2,0,4,0
76,33,2,0,4,0
77,24,2,0,4,0
78,33,2,0,5,0
79,34,2,0,5,0
80,34,2,0,2,0
81,32,2,0,3,0
82,26,2,0,4,0
83,36,2,0,4,0
84,33,2,0,4,0
85,36,2,0,5,0
86,36,2,0,5,0
87,27,2,0,5,0
88,34,2,0,2,0
89,34,2,0,3,0
90,37,2,0,4,0
91,37,2,0,4,0
92,29,2,0,4,0
93,35,2,0,4,0
94,36,2,0,5,0
95,39,2,0,5,0
96,40,3,0,3,0
97,40,3,0,3,0
98,31,3,0,4,0
99,31,3,0,4,0
100,38,3,0,5,0
101,38,3,0,5,0
102,38,3,0,5,0
103,39,3,0,6,0
104,40,3,0,3,0
105,39,3,0,3,0
106,40,3,0,4,0
107,40,3,0,4,0
108,41,3,0,5,0
109,41,3,0,5,0
110,41,3,0,5,0
111,42,3,0,6,0
112,42,3,0,4,0
113,46,3,0,3,0
114,43,3,0,4,0
115,43,3,0,5,0
116,43,3,0,5,0
117,44,3,0,5,0
118,44,3,0,6,0
119,46,3,0,6,0
120,46,3,0,3,0
121,45,3,0,3,0
122,46,3,0,4,0
123,46,3,0,4,0
124,47,3,0,5,0
125,47,3,0,5,0
126,47,3,0,5,0
127,49,3,0,6,0
128,48,3,0,4,0
129,51,3,0,6,0
130,50,3,0,5,0
131,56,3,0,5,0
132,52,3,0,5,0
133,53,3,0,6,0
134,52,3,0,6,0
135,52,3,0,6,0
136,51,3,0,4,0
137,52,3,0,4,0
138,52,3,0,5,0
139,52,3,0,5,0
140,53,3,0,5,0
141,53,3,0,6,0
142,53,3,0,6,0
143,54,3,0,6,0
144,54,4,0,4,0
145,54,4,0,4,0
146,55,4,0,5,0
147,55,4,0,5,0
148,55,4,0,5,0
149,55,4,0,6,0
150,56,4,0,6,0
151,56,4,0,6,0
152,58,4,0,4,0
153,57,4,0,4,0
154,57,4,0,5,0
155,57,4,0,5,0
156,58,4,0,6,0
157,58,4,0,6,0
158,58,4,0,6,0
159,59,4,0,6,0
160,59,4,0,4,0
161,59,4,0,4,0
162,60,4,0,5,0
163,60,4,0,6,0
164,61,4,0,6,0
165,60,4,0,6,0
166,61,4,0,7,0
167,61,4,0,7,0
168,68,4,0,4,0
169,64,4,0,4,0
170,62,4,0,5,0
171,62,4,0,6,0
172,63,4,0,6,0
173,63,4,0,6,0
174,63,4,0,7,0
175,64,4,0,7,0
176,64,4,0,4,0
177,65,4,0,4,0
178,65,4,0,5,0
179,65,4,0,6,0
180,66,4,0,6,0
181,65,4,0,6,0
182,66,4,0,7,0
183,66,4,0,7,0
184,67,4,0,4,0
185,67,4,0,4,0
186,67,4,0,5,0
187,68,4,0,6,0
188,68,4,0,6,0
189,68,4,0,6,0
190,69,4,0,7,0
191,69,4,0,7,0
192,69,4,0,5,0
193,70,14,0,14,0
194,70,8,0,6,0
195,70,4,0,6,0
196,71,4,0,7,0
197,71,4,0,7,0
198,72,4,0,7,0
199,72,5,0,8,0
200,72,5,0,5,0
201,73,4,0,5,0
202,73,4,0,6,0
203,73,4,0,6,0
204,74,4,0,7,0
205,77,4,0,8,0
206,77,4,0,7,0
207,77,4,0,8,0
208,75,5,0,5,0
209,75,5,0,5,0
210,75,5,0,6,0
211,75,5,0,6,0
212,76,5,0,7,0
213,76,5,0,7,0
214,77,5,0,7,0
215,77,5,0,8,0
216,77,5,0,5,0
217,77,5,0,5,0
218,78,5,0,6,0
219,78,5,0,6,0
220,78,5,0,7,0
221,78,5,0,7,0
222,79,5,0,7,0
223,80,5,0,8,0
224,80,5,0,5,0
225,80,5,0,6,0
226,80,5,0,7,0
227,80,5,0,7,0
228,81,5,0,7,0
229,83,5,0,8,0
230,83,5,0,8,0
231,83,5,0,8,0
232,82,5,0,5,0
233,83,5,0,6,0
234,83,5,0,7,0
235,83,5,0,7,0
236,83,5,0,7,0
237,83,5,0,8,0
238,84,5,0,8,0
239,84,5,0,8,0
240,84,5,0,5,0
241,85,5,0,6,0
242,85,5,0,7,0
243,86,5,0,7,0
244,86,5,0,7,0
245,86,5,0,8,0
246,86,5,0,8,0
247,86,5,0,8,0
248,87,5,0,5,0
249,87,5,0,6,0
250,88,5,0,7,0
251,88,5,0,7,0
252,88,5,0,7,0
253,89,5,0,8,0
254,89,5,0,8,0
255,89,6,0,8,0
256,89,6,0,6,0
272,94,6,0,6,0
288,99,6,0,7,0
304,104,7,0,7,0
320,109,7,0,7,0
336,114,7,0,7,0
352,119,8,0,8,0
368,127,8,0,8,0
384,129,8,0,9,0
400,134,9,0,9,0
416,139,9,0,9,0
432,147,9,0,9,0
448,149,10,0,10,0
464,154,10,0,10,0
480,159,10,0,10,0
496,164,10,0,10,0
512,169,11,0,11,0
528,174,11,0,11,0
544,179,11,0,12,0
560,184,12,0,12,0
576,189,12,0,12,0
592,196,12,0,12,0
608,198,13,0,13,0
624,203,13,0,13,0
640,209,13,0,14,0
656,216,14,0,13,0
672,218,14,0,14,0
688,223,14,0,14,0
704,253,15,0,15,0
720,233,15,0,15,0
736,238,15,0,15,0
752,243,15,0,15,0
768,254,16,0,16,0
784,253,16,0,16,0
800,261,16,0,17,0
816,263,17,0,17,0
832,268,17,0,17,0
848,273,22,0,17,0
864,278,18,0,18,0
880,283,28,0,18,0
896,290,18,0,18,0
912,293,19,0,18,0
928,297,28,0,19,0
944,302,28,0,19,0
960,307,19,0,20,0
976,312,20,0,20,0
992,320,20,0,20,0
1008,322,20,0,20,0
1024,327,21,0,21,0
1040,332,21,0,21,0
1056,340,21,0,22,0
1072,345,32,0,22,0
1088,347,22,0,22,0
1104,355,22,0,22,0
1120,357,23,0,23,0
1136,362,23,0,23,0
1152,367,32,0,23,0
1168,372,23,0,23,0
1184,377,24,0,24,0
1200,388,24,0,24,0
1216,387,24,0,25,0
1232,395,34,0,25,0
1248,397,25,0,25,0
1264,402,25,0,25,0
1280,407,26,0,26,0
1296,414,26,0,26,0
1312,416,36,0,27,0
1328,421,27,0,27,0
1344,429,27,0,27,0
1360,431,27,0,27,0
1376,436,28,0,28,0
1392,441,37,0,28,0
1408,449,28,0,28,0
1424,451,28,0,28,0
1440,456,29,0,29,0
1456,461,38,0,29,0
1472,466,30,0,30,0
1488,474,30,0,30,0
1504,476,30,0,36,0
1520,484,40,0,30,0
1536,486,41,0,31,0
1552,491,41,0,31,0
1568,496,42,0,32,0
1584,501,42,0,32,0
1600,506,42,0,32,0
1616,511,42,0,32,0
1632,519,43,0,33,0
1648,521,43,0,33,0
1664,526,45,0,33,0
1680,533,44,0,33,0
1696,535,44,0,34,0
1712,540,45,0,34,0
1728,546,45,0,35,0
1744,550,45,0,35,0
1760,555,45,0,35,0
1776,569,46,0,35,0
1792,565,46,0,36,0
1808,570,46,0,36,0
1824,578,46,0,36,0
1840,580,49,0,36,0
1856,585,49,0,37,0
1872,593,49,0,37,0
1888,595,50,0,38,0
1904,603,50,0,38,0
1920,608,50,0,38,0
1936,621,52,0,40,0
1952,618,50,0,39,0
1968,623,51,0,39,0
1984,628,51,0,40,0
2000,639,51,0,40,0
2016,635,52,0,40,0
2032,639,52,0,40,0
2048,647,52,0,47,0
2064,649,53,0,41,0
2080,654,54,0,41,0
2096,660,53,0,41,0
2112,667,54,0,42,0
2128,672,54,0,42,0
2144,677,54,0,43,0
2160,679,55,0,43,0
2176,684,55,0,43,0
2192,689,56,0,43,0
2208,700,56,0,50,0
2224,699,56,0,44,0
2240,707,56,0,45,0
2256,712,57,0,45,0
2272,714,57,0,45,0
2288,722,57,0,45,0
2304,724,58,0,46,0
