time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
1,0,1,0,1,0
2,0,1,0,1,0
3,1,1,0,1,0
4,1,1,0,2,0
5,2,1,0,2,0
6,2,1,0,2,0
7,3,1,0,2,0
8,3,1,0,3,0
9,3,1,0,3,0
10,4,1,0,3,0
11,4,1,0,4,0
12,5,1,0,4,0
13,5,1,0,4,0
14,5,1,0,5,0
15,6,1,0,6,0
16,6,1,0,1,0
17,7,1,0,1,0
18,7,1,0,1,0
19,7,1,0,2,0
20,8,1,0,2,0
21,8,1,0,2,0
22,9,1,0,3,0
23,9,1,0,3,0
24,9,1,0,3,0
25,10,1,0,3,0
26,10,1,0,4,0
27,11,1,0,5,0
28,11,1,0,5,0
29,12,1,0,5,0
30,12,1,0,6,0
31,12,1,0,5,0
32,13,1,0,1,0
33,13,1,0,1,0
34,14,1,0,1,0
35,14,1,0,2,0
36,14,1,0,2,0
37,15,1,0,2,0
38,16,1,0,3,0
39,16,1,0,3,0
40,16,1,0,3,0
41,16,1,0,4,0
42,17,1,0,4,0
43,17,1,0,5,0
44,18,1,0,4,0
45,19,1,0,5,0
46,19,1,0,5,0
47,22,1,0,5,0
48,20,1,0,1,0
49,21,1,0,1,0
50,21,1,0,2,0
51,23,1,0,2,0
52,22,1,0,2,0
53,23,1,0,3,0
54,25,1,0,3,0
55,23,1,0,3,0
56,24,1,0,3,0
57,24,1,0,4,0
58,25,1,0,4,0
59,26,1,0,5,0
60,26,1,0,5,0
61,25,1,0,6,0
62,26,1,0,6,0
63,26,1,0,6,0
64,27,1,0,1,0
65,29,1,0,1,0
66,27,1,0,1,0
67,28,1,0,2,0
68,28,1,0,2,0
69,30,1,0,3,0
70,29,1,0,3,0
71,30,1,0,3,0
72,30,1,0,4,0
73,30,1,0,4,0
74,31,1,0,4,0
75,31,1,0,5,0
76,33,1,0,6,0
77,34,1,0,5,0
78,33,1,0,6,0
79,33,1,0,6,0
80,33,1,0,1,0
81,33,1,0,1,0
82,36,1,0,1,0
83,34,1,0,2,0
84,35,1,0,2,0
85,35,1,0,3,0
86,36,1,0,3,0
87,38,1,0,3,0
88,39,1,0,4,0
89,39,1,0,5,0
90,38,7,0,5,0
91,37,1,0,5,0
92,38,1,0,6,0
93,39,1,0,6,0
94,39,1,0,7,0
95,39,1,0,6,0
96,39,1,0,1,0
97,40,1,0,1,0
98,43,1,0,2,0
99,44,1,0,2,0
100,44,1,0,2,0
101,44,1,0,3,0
102,42,1,0,3,0
103,43,1,0,4,0
104,44,1,0,4,0
105,43,1,0,5,0
106,44,1,0,5,0
107,44,1,0,4,0
108,44,1,0,6,0
